"RIC"	"TimeUtc"	"Flags"	"VolumeAccumulated"	"TradingStatus"	"LatestTradePrice"	"LatestTradeSize"	"BestAskPrice"	"BestAskSize"	"BestBidPrice"	"BestBidSize"	"BidOrderBook"	"AskOrderBook"
"TST.J"	"06/12/2018 05:00:02"	"11111111"	"0"	"Closed"	"0"	"0"	"1025"	"989050"	"850"	"2400"	""	""
"TST.J"	"06/12/2018 06:29:59"	"01000000"	"0"	"Auction"	"0"	"0"	"1025"	"989050"	"850"	"2400"	"Level: 1 Price: 850 Quantity: 2400| Level: 2 Price: 750 Quantity: 26013| Level: 3 Price: 105 Quantity: 15013"	"Level: 1 Price: 1025 Quantity: 989050| Level: 2 Price: 1040 Quantity: 19919| Level: 3 Price: 1050 Quantity: 6013"
"TST.J"	"06/12/2018 06:59:47"	"00001100"	"0"	"Auction"	"0"	"0"	"885"	"1"	"850"	"2400"	"Level: 1 Price: 850 Quantity: 2400| Level: 2 Price: 750 Quantity: 26013| Level: 3 Price: 105 Quantity: 15013"	"Level: 1 Price: 1025 Quantity: 989050| Level: 2 Price: 1040 Quantity: 19919| Level: 3 Price: 1050 Quantity: 6013"
"TST.J"	"06/12/2018 06:59:59"	"01000000"	"0"	"Continuous"	"0"	"0"	"885"	"1"	"850"	"2400"	"Level: 1 Price: 850 Quantity: 2400| Level: 2 Price: 750 Quantity: 26013| Level: 3 Price: 105 Quantity: 15013"	"Level: 1 Price: 885 Quantity: 1| Level: 2 Price: 1025 Quantity: 989050| Level: 3 Price: 1040 Quantity: 19919| Level: 4 Price: 1050 Quantity: 6013"
"TST.J"	"06/12/2018 06:59:59"	"00001000"	"0"	"Continuous"	"0"	"0"	"885"	"5353"	"850"	"2400"	"Level: 1 Price: 850 Quantity: 2400| Level: 2 Price: 750 Quantity: 26013| Level: 3 Price: 105 Quantity: 15013"	"Level: 1 Price: 885 Quantity: 1| Level: 2 Price: 1025 Quantity: 989050| Level: 3 Price: 1040 Quantity: 19919| Level: 4 Price: 1050 Quantity: 6013"
"TST.J"	"06/12/2018 06:59:59"	"10000011"	"1"	"Continuous"	"885"	"1"	"885"	"5353"	"850"	"2400"	"Level: 1 Price: 850 Quantity: 2400| Level: 2 Price: 750 Quantity: 26013| Level: 3 Price: 105 Quantity: 15013"	"Level: 1 Price: 885 Quantity: 5353| Level: 2 Price: 1025 Quantity: 989050| Level: 3 Price: 1040 Quantity: 19919| Level: 4 Price: 1050 Quantity: 6013"
"TST.J"	"06/12/2018 06:59:59"	"00001000"	"1"	"Continuous"	"885"	"1"	"885"	"5352"	"850"	"2400"	"Level: 1 Price: 850 Quantity: 2400| Level: 2 Price: 750 Quantity: 26013| Level: 3 Price: 105 Quantity: 15013"	"Level: 1 Price: 885 Quantity: 5353| Level: 2 Price: 1025 Quantity: 989050| Level: 3 Price: 1040 Quantity: 19919| Level: 4 Price: 1050 Quantity: 6013"
"TST.J"	"06/12/2018 06:59:59"	"10000010"	"5353"	"Continuous"	"885"	"5352"	"885"	"5352"	"850"	"2400"	"Level: 1 Price: 850 Quantity: 2400| Level: 2 Price: 750 Quantity: 26013| Level: 3 Price: 105 Quantity: 15013"	"Level: 1 Price: 885 Quantity: 5352| Level: 2 Price: 1025 Quantity: 989050| Level: 3 Price: 1040 Quantity: 19919| Level: 4 Price: 1050 Quantity: 6013"
"TST.J"	"06/12/2018 06:59:59"	"00001100"	"5353"	"Continuous"	"885"	"5352"	"1025"	"989050"	"850"	"2400"	"Level: 1 Price: 850 Quantity: 2400| Level: 2 Price: 750 Quantity: 26013| Level: 3 Price: 105 Quantity: 15013"	"Level: 1 Price: 885 Quantity: 5352| Level: 2 Price: 1025 Quantity: 989050| Level: 3 Price: 1040 Quantity: 19919| Level: 4 Price: 1050 Quantity: 6013"
"TST.J"	"06/12/2018 07:00:12"	"00001100"	"5353"	"Continuous"	"885"	"5352"	"885"	"1"	"850"	"2400"	"Level: 1 Price: 850 Quantity: 2400| Level: 2 Price: 750 Quantity: 26013| Level: 3 Price: 105 Quantity: 15013"	"Level: 1 Price: 1025 Quantity: 989050| Level: 2 Price: 1040 Quantity: 19919| Level: 3 Price: 1050 Quantity: 6013"
"TST.J"	"06/12/2018 07:00:59"	"00100000"	"5353"	"Continuous"	"885"	"5352"	"885"	"1"	"850"	"4400"	"Level: 1 Price: 850 Quantity: 2400| Level: 2 Price: 750 Quantity: 26013| Level: 3 Price: 105 Quantity: 15013"	"Level: 1 Price: 885 Quantity: 1| Level: 2 Price: 1025 Quantity: 989050| Level: 3 Price: 1040 Quantity: 19919| Level: 4 Price: 1050 Quantity: 6013"
"TST.J"	"06/12/2018 07:02:26"	"00110000"	"5353"	"Continuous"	"885"	"5352"	"885"	"1"	"884"	"75013"	"Level: 1 Price: 850 Quantity: 4400| Level: 2 Price: 750 Quantity: 26013| Level: 3 Price: 105 Quantity: 15013"	"Level: 1 Price: 885 Quantity: 1| Level: 2 Price: 1025 Quantity: 989050| Level: 3 Price: 1040 Quantity: 19919| Level: 4 Price: 1050 Quantity: 6013"
"TST.J"	"06/12/2018 07:02:27"	"00100000"	"5353"	"Continuous"	"885"	"5352"	"885"	"1"	"884"	"77013"	"Level: 1 Price: 884 Quantity: 75013| Level: 2 Price: 850 Quantity: 4400| Level: 3 Price: 750 Quantity: 26013| Level: 4 Price: 105 Quantity: 15013"	"Level: 1 Price: 885 Quantity: 1| Level: 2 Price: 1025 Quantity: 989050| Level: 3 Price: 1040 Quantity: 19919| Level: 4 Price: 1050 Quantity: 6013"
"TST.J"	"06/12/2018 07:02:40"	"00001100"	"5353"	"Continuous"	"885"	"5352"	"1025"	"989050"	"884"	"77013"	"Level: 1 Price: 884 Quantity: 77013| Level: 2 Price: 850 Quantity: 2400| Level: 3 Price: 750 Quantity: 26013| Level: 4 Price: 105 Quantity: 15013"	"Level: 1 Price: 885 Quantity: 1| Level: 2 Price: 1025 Quantity: 989050| Level: 3 Price: 1040 Quantity: 19919| Level: 4 Price: 1050 Quantity: 6013"
