Source       Instrument     DateTime                Stat          Bid              Ask               BookBid                                                    BookAsk
[TSTJ.csv]   TST.J          06/12/2018 05:00:02     Closed        Bid{850,2400}    Ask{1025,989050}  BookBid{}                                                  BookAsk{}
[TSTJ.log]   317837590261   20180612-06:47:07.111   2             Bid{0,0}         Ask{0,0}          BookBid{}                                                  BookAsk{}

[TSTJ.csv]   TST.J          06/12/2018 06:29:59     Auction       Bid{850,2400}    Ask{1025,989050}  BookBid{850,2400;750,26013;105,15013}                      BookAsk{1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-06:47:07.111   2             Bid{0,0}         Ask{0,0}          BookBid{}                                                  BookAsk{}

[TSTJ.csv]   TST.J          06/12/2018 06:59:47     Auction       Bid{850,2400}    Ask{885,1}        BookBid{850,2400;750,26013;105,15013}                      BookAsk{1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-06:47:31.813   2             Bid{0,0}         Ask{0,0}          BookBid{}                                                  BookAsk{}

[TSTJ.csv]   TST.J          06/12/2018 06:59:59     Continuous    Bid{850,2400}    Ask{885,1}        BookBid{850,2400;750,26013;105,15013}                      BookAsk{885,1;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-06:47:31.888   2             Bid{0,0}         Ask{0,0}          BookBid{}                                                  BookAsk{}

[TSTJ.csv]   TST.J          06/12/2018 06:59:59     Continuous    Bid{850,2400}    Ask{885,5353}     BookBid{850,2400;750,26013;105,15013}                      BookAsk{885,1;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-06:58:47.118   1             Bid{0,0}         Ask{0,0}          BookBid{}                                                  BookAsk{}

[TSTJ.csv]   TST.J          06/12/2018 06:59:59     Continuous    Bid{850,2400}    Ask{885,5353}     BookBid{850,2400;750,26013;105,15013}                      BookAsk{885,5353;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-06:58:47.118   1             Bid{850,2400}    Ask{0,0}          BookBid{850,2400}                                          BookAsk{}

[TSTJ.csv]   TST.J          06/12/2018 06:59:59     Continuous    Bid{850,2400}    Ask{885,5352}     BookBid{850,2400;750,26013;105,15013}                      BookAsk{885,5353;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-06:58:47.118   1             Bid{850,2400}    Ask{0,0}          BookBid{850,2400;750,26013}                                BookAsk{}

[TSTJ.csv]   TST.J          06/12/2018 06:59:59     Continuous    Bid{850,2400}    Ask{885,5352}     BookBid{850,2400;750,26013;105,15013}                      BookAsk{885,5352;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-06:58:47.118   1             Bid{850,2400}    Ask{0,0}          BookBid{850,2400;750,26013;105,15013}                      BookAsk{}

[TSTJ.csv]   TST.J          06/12/2018 06:59:59     Continuous    Bid{850,2400}    Ask{1025,989050}  BookBid{850,2400;750,26013;105,15013}                      BookAsk{885,5352;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-06:58:47.118   1             Bid{850,2400}    Ask{1025,989050}  BookBid{850,2400;750,26013;105,15013}                      BookAsk{1025,989050}

[TSTJ.csv]   TST.J          06/12/2018 07:00:12     Continuous    Bid{850,2400}    Ask{885,1}        BookBid{850,2400;750,26013;105,15013}                      BookAsk{1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-06:58:47.118   1             Bid{850,2400}    Ask{1025,989050}  BookBid{850,2400;750,26013;105,15013}                      BookAsk{1025,989050;1040,19919}

[TSTJ.csv]   TST.J          06/12/2018 07:00:59     Continuous    Bid{850,4400}    Ask{885,1}        BookBid{850,2400;750,26013;105,15013}                      BookAsk{885,1;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-06:58:47.118   1             Bid{850,2400}    Ask{1025,989050}  BookBid{850,2400;750,26013;105,15013}                      BookAsk{1025,989050;1040,19919;1050,1013}

[TSTJ.csv]   TST.J          06/12/2018 07:02:26     Continuous    Bid{884,75013}   Ask{885,1}        BookBid{850,4400;750,26013;105,15013}                      BookAsk{885,1;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-06:58:47.118   1             Bid{850,2400}    Ask{1025,989050}  BookBid{850,2400;750,26013;105,15013}                      BookAsk{1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:02:27     Continuous    Bid{884,77013}   Ask{885,1}        BookBid{884,75013;850,4400;750,26013;105,15013}            BookAsk{885,1;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-07:58:47.148   2             Bid{850,2400}    Ask{1025,989050}  BookBid{850,2400;750,26013;105,15013}                      BookAsk{1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:02:40     Continuous    Bid{884,77013}   Ask{1025,989050}  BookBid{884,77013;850,2400;750,26013;105,15013}            BookAsk{885,1;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-08:28:47.189   4             Bid{850,2400}    Ask{1025,989050}  BookBid{850,2400;750,26013;105,15013}                      BookAsk{1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:02:40     Continuous    Bid{884,77013}   Ask{1025,991050}  BookBid{884,77013;850,2400;750,26013;105,15013}            BookAsk{1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-08:58:35.127   4             Bid{850,2400}    Ask{885,1}        BookBid{850,2400;750,26013;105,15013}                      BookAsk{885,1;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:02:43     Continuous    Bid{885,2500}    Ask{1025,991050}  BookBid{884,77013;850,2400;750,26013;105,15013}            BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-08:58:47.594   2             Bid{850,2400}    Ask{885,1}        BookBid{850,2400;750,26013;105,15013}                      BookAsk{885,1;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:02:44     Continuous    Bid{885,4500}    Ask{1025,991050}  BookBid{885,2500;884,77013;850,2400;750,26013;105,15013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-08:58:47.832   2             Bid{850,2400}    Ask{885,5353}     BookBid{850,2400;750,26013;105,15013}                      BookAsk{885,5353;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:03:25     Continuous    Bid{885,4500}    Ask{890,1}        BookBid{885,4500;884,75013;850,2400;750,26013;105,15013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-08:58:47.833   2             Bid{850,2400}    Ask{885,5352}     BookBid{850,2400;750,26013;105,15013}                      BookAsk{885,5352;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:03:44     Continuous    Bid{889,75013}   Ask{890,1}        BookBid{885,4500;884,75013;850,2400;750,26013;105,15013}   BookAsk{890,1;1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-08:58:47.833   2             Bid{850,2400}    Ask{1025,989050}  BookBid{850,2400;750,26013;105,15013}                      BookAsk{1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:03:44     Continuous    Bid{889,77013}   Ask{890,1}        BookBid{889,75013;885,4500;850,2400;750,26013;105,15013}   BookAsk{890,1;1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-08:58:47.842   2             Bid{850,2400}    Ask{1025,989050}  BookBid{850,2400;750,26013;105,15013}                      BookAsk{1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:06:01     Continuous    Bid{889,77013}   Ask{890,1}        BookBid{889,77013;850,2400;750,26013;105,15013}            BookAsk{890,1;1025,991050;1040,19919;1050,6013}
